Col_1,Col_2,Col_3,Col_4,Col_5,Col_6,Col_7,Col_8,Col_9,Col_10,Col_11,Col_12,Col_13,Col_14,Col_15
CJ Jordan (KXIP),2020-2020,9,5,2,29,13,9.66,31,93.54,-,-,-,2,0
NA Saini (RCB),2020-2020,13,3,2,27,12*,27.00,27,100.00,-,-,-,3,0
NM Coulter-Nile (MI),2020-2020,7,2,1,25,24*,25.00,15,166.66,-,-,-,4,0
KL Nagarkoti (KKR),2020-2020,10,6,3,22,8*,7.33,31,70.96,-,-,1,1,0
HV Patel (DC),2020-2020,5,2,-,21,16,10.50,24,87.50,-,-,-,2,0
TU Deshpande (DC),2020-2020,5,2,1,21,20*,21.00,12,175.00,-,-,-,2,1
JDS Neesham (KXIP),2020-2020,5,3,1,19,10*,9.50,18,105.55,-,-,-,0,1
T Banton (KKR),2020-2020,2,2,-,18,10,9.00,20,90.00,-,-,-,1,1
Mohammed Siraj (RCB),2020-2020,9,3,2,17,10*,17.00,14,121.42,-,-,-,2,0
KK Nair (KXIP),2020-2020,4,3,1,16,15*,8.00,14,114.28,-,-,1,2,0
JL Pattinson (MI),2020-2020,10,2,1,15,11,15.00,13,115.38,-,-,-,2,0
Prabhsimran Singh (KXIP),2020-2020,2,2,-,15,11,7.50,15,100.00,-,-,-,2,0
I Udana (RCB),2020-2020,10,4,1,15,10*,5.00,11,136.36,-,-,1,1,1
Imran Tahir (CSK),2020-2020,3,1,1,13,13*,0.00,10,130.00,-,-,-,2,0
Kuldeep Yadav (KKR),2020-2020,5,2,1,13,12,13.00,21,61.90,-,-,-,1,0
SN Thakur (CSK),2020-2020,9,2,1,12,11,12.00,21,57.14,-,-,-,0,0
MM Ali (RCB),2020-2020,3,3,-,12,11,4.00,16,75.00,-,-,1,1,0
Sandeep Sharma (SRH),2020-2020,13,5,3,12,9,6.00,15,80.00,-,-,1,1,0
Mohammad Nabi (SRH),2020-2020,1,1,1,11,11*,0.00,8,137.50,-,-,-,2,0
RK Singh (KKR),2020-2020,1,1,-,11,11,11.00,11,100.00,-,-,-,1,0
Shivam Mavi (KKR),2020-2020,8,3,1,10,9,5.00,14,71.42,-,-,1,1,0
CV Varun (KKR),2020-2020,13,3,1,10,7*,5.00,15,66.66,-,-,-,0,0
JD Unadkat (RR),2020-2020,7,1,-,9,9,9.00,13,69.23,-,-,-,0,0
AS Rajpoot (RR),2020-2020,6,2,1,9,7*,9.00,10,90.00,-,-,-,0,1
P Dubey (DC),2020-2020,3,1,1,7,7*,0.00,13,53.84,-,-,-,0,0
S Nadeem (SRH),2020-2020,7,2,1,7,5,7.00,8,87.50,-,-,-,1,0
DJ Bravo (CSK),2020-2020,6,2,-,7,7,3.50,6,116.66,-,-,1,0,0
DL Chahar (CSK),2020-2020,14,3,2,7,5*,7.00,12,58.33,-,-,1,0,0
Ravi Bishnoi (KXIP),2020-2020,14,3,2,7,6*,7.00,12,58.33,-,-,-,1,0
A Nortje (DC),2020-2020,16,5,4,7,3*,7.00,6,116.66,-,-,-,0,0
AJ Tye (RR),2020-2020,1,1,-,6,6,6.00,6,100.00,-,-,-,0,1
JJ Bumrah (MI),2020-2020,15,1,1,5,5*,0.00,3,166.66,-,-,-,0,0
M Ashwin (KXIP),2020-2020,9,1,-,4,4,4.00,4,100.00,-,-,-,0,0
Kartik Tyagi (RR),2020-2020,10,3,2,4,2*,4.00,6,66.66,-,-,-,0,0
DS Kulkarni (MI),2020-2020,1,1,1,3,3*,0.00,2,150.00,-,-,-,0,0
T Natarajan (SRH),2020-2020,16,3,3,3,3*,0.00,5,60.00,-,-,-,0,0
RD Chahar (MI),2020-2020,15,1,1,2,2*,0.00,4,50.00,-,-,-,0,0
M Prasidh Krishna (KKR),2020-2020,6,2,2,2,2*,0.00,4,50.00,-,-,-,0,0
Mohammed Shami (KXIP),2020-2020,14,3,2,2,2*,2.00,3,66.66,-,-,1,0,0
DW Steyn (RCB),2020-2020,3,1,1,1,1*,0.00,2,50.00,-,-,-,0,0
NS Naik (KKR),2020-2020,1,1,-,1,1,1.00,3,33.33,-,-,-,0,0
Mujeeb Ur Rahman (KXIP),2020-2020,2,1,-,1,1,1.00,3,33.33,-,-,-,0,0
Shahbaz Ahmed (RCB),2020-2020,2,1,1,1,1*,0.00,1,100.00,-,-,-,0,0
VR Aaron (RR),2020-2020,3,2,1,1,1,1.00,10,10.00,-,-,-,0,0
YS Chahal (RCB),2020-2020,15,2,1,1,1,1.00,3,33.33,-,-,-,0,0
MR Marsh (SRH),2020-2020,1,1,-,-,-,0.00,1,0.00,-,-,1,0,0
TA Boult (MI),2020-2020,15,1,-,-,-,0.00,1,0.00,-,-,1,0,0
DA Miller (RR),2020-2020,1,1,-,-,-,0.00,0,0.00,-,-,1,0,0
B Kumar (SRH),2020-2020,4,1,-,-,-,0.00,2,0.00,-,-,1,0,0
UT Yadav (RCB),2020-2020,2,1,-,-,-,0.00,2,0.00,-,-,1,0,0
SS Cottrell (KXIP),2020-2020,6,1,-,-,-,0.00,2,0.00,-,-,1,0,0
DR Sams (DC),2020-2020,3,1,-,-,-,0.00,2,0.00,-,-,1,0,0
KK Ahmed (SRH),2020-2020,7,1,-,-,-,0.00,2,0.00,-,-,1,0,0
Arshdeep Singh (KXIP),2020-2020,8,1,-,-,-,0.00,3,0.00,-,-,1,0,0
SP Goswami (SRH),2020-2020,2,2,-,-,-,0.00,4,0.00,-,-,2,0,0
